[6, 9, 6, 3, 7, 6, 3, 7, 1, 2, 8, 1, 9, 9, 2, 1, 9, 3]
[2, 9, 4, 0, 3, 8, 3, 1, 3, 1, 9, 6, 4, 3, 7, 0, 3, 0]
[8, 3, 4, 3, 1, 6, 2, 2, 5, 8, 4, 2, 6, 8, 3, 8, 9, 3]
[2, 3, 7, 4, 1, 4, 1, 3, 5, 7, 1, 1, 9, 8, 7, 8, 0, 6]
[2, 8, 2, 2, 0, 8, 1, 3, 2, 6, 4, 6, 3, 0, 2, 8, 3, 3]
[8, 2, 3, 2, 4, 0, 0, 8, 8, 7, 4, 6, 6, 8, 0, 3, 5, 5]
[6, 4, 3, 2, 0, 8, 4, 8, 1, 1, 2, 9, 7, 9, 6, 9, 6, 5]
[6, 5, 2, 4, 9, 5, 0, 4, 8, 2, 2, 4, 3, 4, 3, 2, 6, 3]
[9, 5, 2, 4, 1, 0, 1, 7, 7, 6, 5, 4, 7, 0, 0, 2, 8, 3]
[5, 8, 9, 2, 1, 2, 3, 0, 2, 7, 6, 2, 2, 9, 5, 1, 1, 7]
[6, 2, 3, 3, 5, 7, 2, 0, 3, 7, 5, 5, 2, 5, 4, 4, 9, 9]
[3, 7, 7, 3, 0, 0, 2, 8, 6, 5, 1, 3, 5, 0, 9, 3, 0, 1]
[5, 4, 5, 0, 2, 0, 2, 8, 8, 7, 6, 1, 6, 9, 7, 8, 0, 2]
[8, 8, 5, 2, 3, 5, 4, 8, 6, 5, 6, 1, 9, 6, 7, 8, 5, 5]
[4, 9, 4, 1, 7, 9, 4, 9, 5, 5, 3, 7, 0, 4, 3, 6, 2, 1]
[2, 8, 7, 2, 0, 2, 3, 3, 2, 6, 7, 9, 2, 8, 7, 0, 9, 5]
[8, 2, 7, 1, 5, 5, 0, 2, 5, 9, 4, 4, 5, 7, 3, 5, 9, 5]
[3, 3, 3, 0, 8, 3, 4, 2, 4, 1, 7, 5, 6, 3, 9, 4, 5, 3]
[6, 8, 7, 1, 8, 4, 3, 5, 2, 6, 3, 5, 1, 6, 3, 4, 3, 1]
[5, 5, 3, 1, 5, 6, 2, 6, 1, 9, 6, 6, 3, 8, 8, 6, 4, 5]
