[7, 6, 8, 7, 3, 6, 4, 2, 1, 9]
[8, 8, 7, 7, 4, 3, 7, 4, 1, 2]
[8, 6, 8, 8, 5, 4, 7, 8, 1, 6]
[9, 7, 6, 2, 8, 8, 4, 7, 0, 8]
[5, 8, 9, 0, 4, 6, 9, 6, 1, 3]
[7, 6, 2, 0, 1, 5, 8, 4, 0, 2]
[6, 5, 5, 9, 1, 7, 9, 7, 1, 2]
[7, 5, 2, 7, 3, 3, 7, 8, 1, 1]
[8, 5, 4, 7, 4, 2, 0, 3, 1, 4]
[5, 5, 6, 9, 5, 2, 5, 8, 1, 2]
[6, 9, 4, 8, 5, 6, 7, 4, 0, 9]
[7, 8, 4, 1, 9, 1, 1, 2, 0, 5]
[6, 9, 4, 9, 6, 2, 9, 3, 1, 3]
[5, 4, 6, 9, 1, 1, 1, 3, 0, 6]
[5, 8, 5, 0, 8, 7, 6, 2, 1, 3]
[9, 9, 3, 9, 1, 0, 7, 2, 1, 0]
[7, 8, 2, 3, 7, 2, 8, 2, 0, 9]
[9, 9, 8, 8, 4, 1, 6, 5, 0, 8]
[5, 8, 5, 1, 4, 6, 9, 6, 1, 2]
[6, 4, 9, 2, 1, 9, 8, 5, 1, 7]
